#,Chemical,Vendor,Purpose,Status,Final SDS Path,Original PDF Filename,Notes
37,LEMON LIFT,ECOLAB,Cleaning,Available,sds/037-lemon-lift.pdf,37 - US-Z8-912485-LEMON LIFT.pdf,Matched by same SDS number.
38,Smoke Sabre,SABRE,Smoke detector test,Available,sds/038-smoke-sabre.pdf,38 - Smoke Sabre MSDS.pdf,Matched by same SDS number.
39,ZEP INDUSTRIAL PURPLE DEGREASER & CLEANER,ZEP INC,Dedreaser,Available,sds/039-zep-industrial-purple-degreaser-and-cleaner.pdf,39 - 72d63c2f-8053-4d07-909c-70b4a0f61a15.pdf,Matched by same SDS number.
40,Echo Power Blend X,ECHO-USA,Cleaner burning,Available,sds/040-echo-power-blend-x.pdf,40 - Echo_PowerBlendXmixOil_042417_e.pdf,Matched by SDS number after duplicate review.
41,WD-40,WD-40,Lubricant,Available,sds/041-wd-40.pdf,40 - wd-40-multi-use-product-aerosol-low-voc-sds-us-ghs.pdf,Corrected filename number: original PDF was labeled #40 but matches master list #41.
42,PTOUCH 2X +SSPR 6PK GLOSS WHITE,RUST-OLEUM,Paint,Available,sds/042-ptouch-2x-sspr-6pk-gloss-white.pdf,42 - 249090.pdf,Matched by same SDS number.
43,STRUST +SSPR 6PK GLOSS CRYSTAL CLEAR,RUST-OLEUM,Paint,Available,sds/043-strust-sspr-6pk-gloss-crystal-clear.pdf,43 - 7701830.pdf,Matched by same SDS number.
44,FLEX SEAL CLEAR,FLEX SEAL,Seals,Available,sds/044-flex-seal-clear.pdf,44 - FLEXSEALLIQUIDCLEAR_SDS_FS_USA_2-23-2024__YCYI_v1.pdf,Matched by same SDS number.
45,Brasso Metal Polish,BRASSO,Metal Polish,Available,sds/045-brasso-metal-polish.pdf,45 - Brasso Metal Polish EN GHS US.pdf,Matched by same SDS number.
46,Restor-A-Finish,HOWARD PROD.,Varnish,Available,sds/046-restor-a-finish.pdf,46 - US - Restor-A-Finish - English (2021).pdf,Matched by same SDS number.
47,Clear Care Plus with Hydraglyde,CLEAR CARE SOLUTION,Cleaning,Available,sds/047-clear-care-plus-with-hydraglyde.pdf,47 - ClearCarePluswithHydraglydeSDS.pdf,Matched by same SDS number.
48,Catalyst,TOUCHUPDIRECT,Paint removers,Available,sds/048-catalyst.pdf,48 - SDS-CS3202-CLB-PTB-ALL.pdf,Matched by same SDS number.
49,LIQUID ELECTRICAL TAPE 4 OZ,Gardner Bender,Wiring and electrical,Available,sds/049-liquid-electrical-tape-4-oz.pdf,49 - 85120.pdf,Matched by same SDS number.
50,DAP® PLASTIC WOOD®,DAP,Molding,Available,sds/050-dap-plastic-wood.pdf,50 - DAP-Plastic-Wood-All-Purpose-Wood-Filler-SDS-2894092.pdf,Matched by same SDS number.
51,H.B. 30 Ice Machine Cleaner,HYDRO BALANCE,Cleaner,Available,sds/051-h-b-30-ice-machine-cleaner.pdf,51 - H-3xx-HB-30-Ice-Machine-Cleaner_SDS_2021-06-30.pdf,Matched by same SDS number.
52,Zip-Clean,ZEP INC,Cleaner,Available,sds/052-zip-clean.pdf,52 - Zip-Clean-Concentrate_SDS_2015-05-20.pdf,Matched by same SDS number.
53,ENDUST,Endust for Electronics,Cleaner,Available,sds/053-endust.pdf,53 - AL9277-SDS-Endust-20210928.pdf,Matched by same SDS number.
54,UNVRSL SSPR 6PK HAMMER SILVER R,RUST-OLEUM,Paint,Available,sds/054-unvrsl-sspr-6pk-hammer-silver-r.pdf,54 - 250383.pdf,Matched by same SDS number.
55,Fragrance Cube,STATE INDUST.,Fragrance system,Available,sds/055-fragrance-cube.pdf,55 - cube_fragrance_-_paradise_breeze_126788_sds.pdf,Matched by same SDS number.
56,PULL IT OUT,CHOMP!,Cleaning,Available,sds/056-pull-it-out.pdf,56 - f9a7d2fb-4237-4da4-b09f-a666f9082122.pdf,Matched by same SDS number.
57,GILA WINDOW FILM SOLUTION,GILA WINDOW F.,Solution,Available,sds/057-gila-window-film-solution.pdf,57 - SS-18276.pdf,Matched by same SDS number.
58,PRO 838 Heavy Duty Clear Adhesive,ROMAN PROD.,Wallcovering,Available,sds/058-pro-838-heavy-duty-clear-adhesive.pdf,58 - 297cd4d9-7909-44b9-8d55-ead8b68f4198.pdf,Matched by same SDS number.
59,BEHR PREMIUM™ Wood Stain & Finish,BEHR,Paint,Available,sds/059-behr-premiumtm-wood-stain-and-finish.pdf,59 - b9bfd005-2e12-4ce8-867d-54b46099ee24.pdf,Matched by same SDS number.
60,Gorilla 8 Oz Wood Glue,Gorilla,Glue,Available,sds/060-gorilla-8-oz-wood-glue.pdf,60 - 69499e377dd5ada0546444a3_Gorilla-Wood-Glue-V1.4-06052024.pdf,Matched by same SDS number.
61,Klean Strip Odorless Mineral Spirits,KLEAN STRIP,Paint,Available,sds/061-klean-strip-odorless-mineral-spirits.pdf,61 - Mineral Spirits - Low Odor (Klean-Strip ScienceLab) 12-21-16.pdf,Matched by same SDS number.
62,GREAT STUFF PRO,GREAT STUFF,Polyurethane Foam,Available,sds/062-great-stuff-pro.pdf,62 - greatstuff-pro-gaps-cracks-US-SDS-000000128139.pdf,Matched by same SDS number.
63,Ace Plumbers Putty,ACE,Seals,Available,sds/063-ace-plumbers-putty.pdf,63 - harvy10g.pdf,Matched by same SDS number.
64,Pro treat 350 Condensation,DICERSITECH,HVAC,Available,sds/064-pro-treat-350-condensation.pdf,64 - DOC32474.pdf,Matched by same SDS number.
65,Lexel Clear Caulk,LEXEL,Caulking,Available,sds/065-lexel-clear-caulk.pdf,65 - USESI_56745_msds.pdf,Matched by SDS number after duplicate review.
66,DAP Kwik Seal Plus Premiun,DAP,Caulking,Available,sds/066-dap-kwik-seal-plus-premiun.pdf,65 - DAP-KWIK-SEAL-PLUS-Premium-Kitchen-Bath-Adhesive-Sealant-Clear-White-SDS-2893931.pdf,Corrected filename number: original PDF was labeled #65 but matches master list #66.
67,Loctite,LOCTITE,Glue,Available,sds/067-loctite.pdf,67 - 0900766b8001f4eb.pdf,Matched by same SDS number.
68,Liquid Nails heavy duty,LIQUID NAILS,Seals,Available,sds/068-liquid-nails-heavy-duty.pdf,68 - documentSearchInnerFrame.pdf,Matched by same SDS number.
69,Gorilla Heavy Duty Construction Adhesive Clear,Gorilla,Glue,Available,sds/069-gorilla-heavy-duty-construction-adhesive-clear.pdf,69 - 69499e34759dbaad13c71f56_Gorilla-Max-Strength-Construction-Adhesive-Clear-SDS-1.pdf,Matched by same SDS number.
70,Otey CPVC,OTEY,CPVC Glue,Available,sds/070-otey-cpvc.pdf,70 - 01_Oatey_CPVC_MediumOrange-AllWeatherMediumYellows_SDS_00420578.pdf,Matched by same SDS number.
71,Dynaflex 230 - All Colors,DAP,Caulking,Available,sds/071-dynaflex-230-all-colors.pdf,71 - 1000101english.pdf,Matched by same SDS number.
72,Woolite Carpet,BISSELL,Cleaner,Available,sds/072-woolite-carpet.pdf,72 - WooliteCarpetUpholsteryCleaner_AdvCarpetUpholsteryCleaner SDS.pdf,Matched by same SDS number.
73,Five Star,FIVE STAR,Five Star,Available,sds/073-five-star.pdf,73 - citric-acid-sds.pdf,Matched by same SDS number.
74,OVEN GUARD,NOBLE CHEMICAL,Ovens,Available,sds/074-oven-guard.pdf,74 - turbochef_oven_guard_105703_sds.pdf,Matched by same SDS number.
75,ZEP furniture polish,ZEP INC,FURNITURE POLISH,Available,sds/075-zep-furniture-polish.pdf,75 - 620328c1-efa3-4358-bc70-2376b23958b1.pdf,Matched by same SDS number.
76,Kool Klene,ECOLAB,Cleaning product,Available,sds/076-kool-klene.pdf,76 - CA-EN-965806-03-KOOL KLENE.pdf,Matched by same SDS number.
77,True Power,ECOLAB,Detergent,Available,sds/077-true-power.pdf,77 - US-Z8-923330-01-TRUPOWER DISHMACHINE DETERGENT HEAVY DUTY.pdf,Matched by same SDS number.
78,Industrial Max (CLR PRO MAX),CLR,Industrial descaler,Available,sds/078-industrial-max-clr-pro-max.pdf,78. CLR-PRO-MAX-Industrial-Degreaser-SDS-Final_v3.pdf,Matched by same SDS number.
79,TB Disinfectant Cleaner,ECOLAB,Cleaner and disinfectant,Available,sds/079-tb-disinfectant-cleaner.pdf,79 - US-Z8-905252-TB DISINFECTANT CLEANER READY-TO-USE.pdf,Matched by same SDS number.
80,Monogram clean force,CLEAN FORCE,All Purpose Cleaner,Available,sds/080-monogram-clean-force.pdf,80 -US-Z8-911615-02-MONOGRAM CLEAN FORCE EZ MULTI-PURPOSE DEGREASER.pdf,Matched by same SDS number.
81,Hand sanitizer Streamline polymers,Streamline Polymers,Hand Sanitizer,Available,sds/081-hand-sanitizer-streamline-polymers.pdf,81 - 124272_SafetyDataSheet(SDS)-PDF.pdf,Matched by same SDS number.
82,Clean Grip,CLEANGRIP,Anti-Slip,Available,sds/082-clean-grip.pdf,82 - Clean Grip.pdf,Matched by same SDS number.
83,Sanitazing wash and walk,ECOLAB,Floor Cleaner,Available,sds/083-sanitazing-wash-and-walk.pdf,83 - US-Z8-914231-SANITIZING WASH N WALK.pdf,Matched by same SDS number.
84,Maxx Dual Action,ECOLAB,Floor Cleaner,Available,sds/084-maxx-dual-action.pdf,84 - US-Z8-910682-05-MAXX DUAL ACTION FLOOR CLEANER-BRIGHT SPEED.pdf,Matched by same SDS number.
85,DrainGel,amguardtech,Drain treatment.,Missing PDF,,,No PDF file found in uploaded SDS.zip for this master list number.
86,Sheila Shine,Sheila Shine,Polishing agent,Available,sds/086-sheila-shine.pdf,86 - SheilaShine-Aerosol-North-America-Fr.pdf,Matched by same SDS number.
87,ZEP Stainless Steel,ZEP INC,Glass Cleaner,Available,sds/087-zep-stainless-steel.pdf,87 - 70de6fc4-f6a4-436d-8814-d936d3af9410.pdf,Matched by same SDS number.
88,ZEP Driveway & Concrete cleaner,ZEP INC,DEGREASERS,Available,sds/088-zep-driveway-and-concrete-cleaner.pdf,88 - a7c077cf-0323-472f-86f7-4a6173b4c094.pdf,Matched by same SDS number.
89,SmokeCheck 25S,HSI Fire and Safety Group,Smoke Alarm Tester,Available,sds/089-smokecheck-25s.pdf,89 - 170_8.pdf,Matched by same SDS number.
90,TimeMist,ZEP INC,Air Freshener,Available,sds/090-timemist.pdf,90 - Zep TimeMist Vanilla SDS 10-1-23.pdf,Matched by same SDS number.
